,SIM Time,Waiting Time,Waiting Car
0,1.0,0.0,0
1,2.0,0.0,0
2,3.0,0.0,0
3,4.0,0.0,0
4,5.0,0.0,0
5,6.0,0.0,0
6,7.0,0.0,0
7,8.0,0.0,0
8,9.0,0.0,0
9,10.0,0.0,0
10,11.0,0.0,0
11,12.0,0.0,0
12,13.0,0.0,0
13,14.0,0.0,0
14,15.0,0.0,0
15,16.0,0.0,0
16,17.0,0.0,0
17,18.0,0.0,0
18,19.0,0.0,0
19,20.0,0.0,0
20,21.0,0.0,0
21,22.0,0.0,0
22,23.0,0.0,0
23,24.0,0.0,0
24,25.0,0.0,0
25,26.0,0.0,0
26,27.0,0.0,0
27,28.0,0.0,0
28,29.0,0.0,0
29,30.0,0.0,0
30,31.0,0.0,0
31,32.0,0.0,0
32,33.0,0.0,2
33,34.0,0.0,2
34,35.0,0.0,1
35,36.0,0.0,1
36,37.0,0.0,1
37,38.0,0.0,1
38,39.0,0.0,1
39,40.0,0.0,1
40,41.0,0.0,0
41,42.0,0.0,0
42,43.0,0.0,0
43,44.0,0.0,0
44,45.0,0.0,0
45,46.0,0.0,2
46,47.0,0.0,1
47,48.0,0.0,1
48,49.0,0.0,2
49,50.0,0.0,3
50,51.0,0.0,4
51,52.0,0.0,3
52,53.0,0.0,2
53,54.0,0.0,2
54,55.0,0.0,2
55,56.0,0.0,2
56,57.0,0.0,1
57,58.0,0.0,1
58,59.0,0.0,1
59,60.0,0.0,2
60,61.0,0.0,1
61,62.0,0.0,1
62,63.0,0.0,3
63,64.0,0.0,1
64,65.0,0.0,1
65,66.0,0.0,4
66,67.0,0.0,4
67,68.0,0.0,3
68,69.0,0.0,3
69,70.0,0.0,5
70,71.0,0.0,5
71,72.0,0.0,6
72,73.0,0.0,4
73,74.0,0.0,2
74,75.0,0.0,4
75,76.0,0.0,3
76,77.0,0.0,2
77,78.0,0.0,3
78,79.0,0.0,5
79,80.0,0.0,4
80,81.0,0.0,4
81,82.0,0.0,4
82,83.0,0.0,4
83,84.0,0.0,2
84,85.0,0.0,2
85,86.0,0.0,1
86,87.0,0.0,1
87,88.0,0.0,1
88,89.0,0.0,1
89,90.0,0.0,1
90,91.0,0.0,2
91,92.0,0.0,3
92,93.0,1.0,4
93,94.0,2.0,4
94,95.0,3.0,3
95,96.0,4.0,3
96,97.0,5.0,3
97,98.0,7.0,4
98,99.0,9.0,3
99,100.0,11.0,4
100,101.0,13.0,4
101,102.0,15.0,3
102,103.0,17.0,4
103,104.0,19.0,6
104,105.0,21.0,5
105,106.0,23.0,5
106,107.0,25.0,4
107,108.0,27.0,4
108,109.0,29.0,4
109,110.0,31.0,5
110,111.0,33.0,7
111,112.0,35.0,7
112,113.0,37.0,8
113,114.0,40.0,7
114,115.0,43.0,8
115,116.0,47.0,7
116,117.0,51.0,8
117,118.0,56.0,10
118,119.0,51.0,10
119,120.0,52.0,11
120,121.0,53.0,11
121,122.0,27.0,9
122,123.0,2.0,10
123,124.0,3.0,9
124,125.0,4.0,9
125,126.0,6.0,8
126,127.0,8.0,8
127,128.0,11.0,7
128,129.0,15.0,7
129,130.0,21.0,8
130,131.0,27.0,7
131,132.0,33.0,7
132,133.0,35.0,7
133,134.0,40.0,6
134,135.0,45.0,7
135,136.0,50.0,8
136,137.0,55.0,10
137,138.0,62.0,10
138,139.0,69.0,9
139,140.0,76.0,9
140,141.0,83.0,10
141,142.0,91.0,11
142,143.0,99.0,11
143,144.0,107.0,11
144,145.0,115.0,10
145,146.0,124.0,11
146,147.0,133.0,11
147,148.0,143.0,11
148,149.0,153.0,11
149,150.0,163.0,11
150,151.0,174.0,13
151,152.0,185.0,13
152,153.0,196.0,13
153,154.0,207.0,15
154,155.0,219.0,15
155,156.0,231.0,15
156,157.0,243.0,16
157,158.0,256.0,15
158,159.0,269.0,16
159,160.0,282.0,15
160,161.0,295.0,14
161,162.0,308.0,14
162,163.0,321.0,15
163,164.0,334.0,15
164,165.0,347.0,15
165,166.0,360.0,14
166,167.0,373.0,15
167,168.0,386.0,15
168,169.0,399.0,14
169,170.0,412.0,14
170,171.0,425.0,14
171,172.0,438.0,14
172,173.0,452.0,14
173,174.0,466.0,14
174,175.0,480.0,14
175,176.0,494.0,14
176,177.0,508.0,15
177,178.0,522.0,15
178,179.0,536.0,15
179,180.0,551.0,15
180,181.0,566.0,15
181,182.0,581.0,15
182,183.0,596.0,15
183,184.0,611.0,16
184,185.0,626.0,16
185,186.0,641.0,16
186,187.0,656.0,17
187,188.0,671.0,17
188,189.0,686.0,16
189,190.0,701.0,16
190,191.0,716.0,17
191,192.0,731.0,17
192,193.0,747.0,17
193,194.0,763.0,17
194,195.0,779.0,17
195,196.0,795.0,18
196,197.0,811.0,18
197,198.0,827.0,19
198,199.0,843.0,20
199,200.0,859.0,20
200,201.0,876.0,20
201,202.0,893.0,21
202,203.0,910.0,21
203,204.0,927.0,20
204,205.0,945.0,19
205,206.0,963.0,19
206,207.0,981.0,20
207,208.0,999.0,20
208,209.0,1018.0,22
209,210.0,1037.0,22
210,211.0,1056.0,21
211,212.0,1075.0,22
212,213.0,1094.0,22
213,214.0,1113.0,22
214,215.0,1132.0,23
215,216.0,1152.0,23
216,217.0,1172.0,24
217,218.0,1192.0,24
218,219.0,1213.0,24
219,220.0,1222.0,23
220,221.0,1242.0,23
221,222.0,1262.0,22
222,223.0,1282.0,22
223,224.0,1302.0,21
224,225.0,1322.0,21
225,226.0,1343.0,22
226,227.0,1364.0,22
227,228.0,1385.0,22
228,229.0,1406.0,22
229,230.0,1427.0,22
230,231.0,1342.0,23
231,232.0,1257.0,23
232,233.0,1172.0,22
233,234.0,980.0,22
234,235.0,795.0,22
235,236.0,620.0,22
236,237.0,543.0,23
237,238.0,468.0,23
238,239.0,335.0,22
239,240.0,345.0,23
240,241.0,274.0,23
241,242.0,286.0,24
242,243.0,298.0,24
243,244.0,310.0,24
244,245.0,323.0,24
245,246.0,334.0,25
246,247.0,346.0,26
247,248.0,359.0,24
248,249.0,363.0,24
249,250.0,366.0,24
250,251.0,379.0,24
251,252.0,393.0,27
252,253.0,407.0,27
253,254.0,412.0,27
254,255.0,427.0,27
255,256.0,443.0,26
256,257.0,460.0,26
257,258.0,479.0,26
258,259.0,499.0,26
259,260.0,520.0,26
260,261.0,542.0,27
261,262.0,564.0,27
262,263.0,586.0,26
263,264.0,610.0,26
264,265.0,634.0,26
265,266.0,658.0,28
266,267.0,678.0,27
267,268.0,701.0,27
268,269.0,724.0,26
269,270.0,747.0,27
270,271.0,771.0,28
271,272.0,796.0,28
272,273.0,821.0,27
273,274.0,846.0,27
274,275.0,872.0,28
275,276.0,898.0,28
276,277.0,924.0,28
277,278.0,951.0,28
278,279.0,971.0,29
279,280.0,996.0,29
280,281.0,1021.0,29
281,282.0,1046.0,29
282,283.0,1072.0,28
283,284.0,1098.0,28
284,285.0,1124.0,28
285,286.0,1150.0,28
286,287.0,1176.0,29
287,288.0,1196.0,29
288,289.0,1221.0,30
289,290.0,1247.0,30
290,291.0,1274.0,29
291,292.0,1301.0,29
292,293.0,1328.0,29
293,294.0,1351.0,29
294,295.0,1378.0,29
295,296.0,1405.0,29
296,297.0,1432.0,29
297,298.0,1456.0,29
298,299.0,1483.0,28
299,300.0,1467.0,28
300,301.0,1459.0,28
301,302.0,1451.0,28
302,303.0,1474.0,28
303,304.0,1497.0,28
304,305.0,1520.0,27
305,306.0,1543.0,27
306,307.0,1567.0,27
