,Time,Wate,Action,Reward
0,1.0,0.0,24,10
1,2.0,0.0,8,10
2,3.0,0.0,64,10
3,4.0,0.0,24,10
4,5.0,0.0,64,10
5,6.0,0.0,8,10
6,7.0,0.0,64,10
7,8.0,0.0,8,10
8,9.0,0.0,8,10
9,10.0,0.0,52,10
10,11.0,0.0,32,10
11,12.0,0.0,24,10
12,13.0,0.0,16,10
13,14.0,0.0,24,10
14,15.0,0.0,48,10
15,16.0,0.0,8,10
16,17.0,0.0,24,10
17,18.0,0.0,32,10
18,19.0,0.0,16,10
19,20.0,0.0,32,10
20,21.0,0.0,64,10
21,22.0,0.0,48,10
22,23.0,0.0,32,10
23,24.0,0.0,32,10
24,25.0,0.0,64,10
25,26.0,0.0,32,10
26,27.0,0.0,32,10
27,28.0,0.0,16,10
28,29.0,0.0,64,10
29,30.0,0.0,16,10
30,31.0,0.0,48,10
31,32.0,0.0,32,10
32,33.0,0.0,64,10
33,34.0,0.0,16,10
34,35.0,0.0,24,10
35,36.0,0.0,32,10
36,37.0,0.0,32,10
37,38.0,0.0,24,10
38,39.0,0.0,16,10
39,40.0,0.0,64,10
40,41.0,0.0,24,10
41,42.0,0.0,52,10
42,43.0,0.0,32,10
43,44.0,0.0,24,10
44,45.0,0.0,24,10
45,46.0,0.0,52,10
46,47.0,0.0,32,10
47,48.0,0.0,64,10
48,49.0,0.0,32,10
49,50.0,0.0,52,10
50,51.0,0.0,16,10
51,52.0,0.0,32,10
52,53.0,0.0,52,10
53,54.0,0.0,8,10
54,55.0,0.0,24,10
55,56.0,0.0,48,10
56,57.0,0.0,52,10
57,58.0,0.0,16,10
58,59.0,0.0,16,10
59,60.0,0.0,52,10
60,61.0,0.0,8,10
61,62.0,0.0,16,10
62,63.0,0.0,16,10
63,64.0,0.0,52,10
64,65.0,0.0,32,10
65,66.0,0.0,24,10
66,67.0,0.0,48,10
67,68.0,0.0,32,10
68,69.0,0.0,48,10
69,70.0,0.0,24,10
70,71.0,0.0,48,10
71,72.0,0.0,48,10
72,73.0,0.0,64,10
73,74.0,0.0,32,10
74,75.0,0.0,64,10
75,76.0,0.0,24,10
76,77.0,0.0,32,10
77,78.0,0.0,48,10
78,79.0,0.0,24,10
79,80.0,0.0,8,10
80,81.0,0.0,48,10
81,82.0,0.0,16,10
82,83.0,1.0,16,10
83,84.0,2.0,64,10
84,85.0,3.0,48,10
85,86.0,4.0,64,10
86,87.0,5.0,24,10
87,88.0,6.0,52,10
88,89.0,7.0,16,10
89,90.0,8.0,64,10
90,91.0,9.0,64,10
91,92.0,10.0,48,10
92,93.0,11.0,48,10
93,94.0,12.0,48,10
94,95.0,0.0,16,10
95,96.0,0.0,8,10
96,97.0,0.0,32,10
97,98.0,0.0,64,10
98,99.0,0.0,16,10
99,100.0,0.0,32,10
100,101.0,0.0,24,10
101,102.0,0.0,16,10
102,103.0,0.0,48,10
103,104.0,0.0,64,10
104,105.0,0.0,64,10
105,106.0,0.0,32,10
106,107.0,0.0,52,10
107,108.0,0.0,52,10
108,109.0,0.0,32,10
109,110.0,0.0,52,10
110,111.0,0.0,16,10
111,112.0,0.0,24,10
112,113.0,0.0,24,10
113,114.0,0.0,16,10
114,115.0,0.0,32,10
115,116.0,0.0,8,10
116,117.0,0.0,16,10
117,118.0,1.0,48,10
118,119.0,2.0,64,10
119,120.0,3.0,48,10
120,121.0,4.0,52,10
121,122.0,5.0,16,10
122,123.0,6.0,64,10
123,124.0,7.0,52,10
124,125.0,1.0,32,10
125,126.0,1.0,8,10
126,127.0,0.0,32,10
127,128.0,0.0,24,10
128,129.0,0.0,48,10
129,130.0,0.0,32,10
130,131.0,0.0,48,10
131,132.0,0.0,64,10
132,133.0,0.0,64,10
133,134.0,0.0,16,10
134,135.0,0.0,24,10
135,136.0,0.0,48,10
136,137.0,0.0,24,10
137,138.0,0.0,52,10
138,139.0,0.0,24,10
139,140.0,1.0,8,10
140,141.0,2.0,52,10
141,142.0,3.0,48,10
142,143.0,4.0,16,10
143,144.0,5.0,8,10
144,145.0,6.0,16,10
145,146.0,7.0,16,10
146,147.0,8.0,8,10
147,148.0,9.0,64,10
148,149.0,10.0,16,10
149,150.0,11.0,64,10
150,151.0,12.0,32,10
151,152.0,13.0,48,10
152,153.0,14.0,48,10
153,154.0,15.0,48,10
154,155.0,1.0,48,10
155,156.0,0.0,52,10
156,157.0,0.0,16,10
157,158.0,0.0,24,10
158,159.0,0.0,52,10
159,160.0,0.0,48,10
160,161.0,0.0,52,10
161,162.0,1.0,48,10
162,163.0,2.0,8,10
163,164.0,3.0,52,10
164,165.0,5.0,32,10
165,166.0,8.0,52,10
166,167.0,12.0,32,10
167,168.0,16.0,52,10
168,169.0,21.0,8,10
169,170.0,16.0,32,10
170,171.0,20.0,24,10
171,172.0,24.0,64,10
172,173.0,29.0,48,10
173,174.0,35.0,32,10
174,175.0,39.0,24,10
175,176.0,44.0,48,10
176,177.0,49.0,52,10
177,178.0,54.0,32,10
178,179.0,59.0,16,10
179,180.0,64.0,64,10
180,181.0,70.0,16,10
181,182.0,76.0,64,10
182,183.0,82.0,64,10
183,184.0,88.0,48,10
184,185.0,74.0,24,10
185,186.0,59.0,24,10
186,187.0,43.0,32,10
187,188.0,28.0,8,10
188,189.0,15.0,64,10
189,190.0,8.0,48,10
190,191.0,11.0,8,10
191,192.0,7.0,8,10
192,193.0,8.0,16,10
193,194.0,8.0,64,10
194,195.0,11.0,52,10
195,196.0,14.0,48,10
196,197.0,17.0,52,10
197,198.0,21.0,48,10
198,199.0,25.0,8,10
199,200.0,29.0,16,10
200,201.0,33.0,32,10
201,202.0,38.0,24,10
202,203.0,43.0,16,10
203,204.0,48.0,48,10
204,205.0,53.0,24,10
205,206.0,59.0,32,10
206,207.0,65.0,32,10
207,208.0,71.0,24,10
208,209.0,77.0,16,10
209,210.0,83.0,16,10
210,211.0,89.0,8,10
211,212.0,95.0,8,10
212,213.0,101.0,52,10
213,214.0,90.0,64,10
214,215.0,55.0,52,10
215,216.0,26.0,32,10
216,217.0,7.0,64,10
217,218.0,12.0,48,10
218,219.0,17.0,52,10
219,220.0,24.0,64,10
220,221.0,32.0,24,10
221,222.0,41.0,64,10
222,223.0,50.0,48,10
223,224.0,60.0,52,10
224,225.0,70.0,52,10
225,226.0,80.0,52,10
226,227.0,90.0,32,10
227,228.0,100.0,64,10
228,229.0,84.0,24,10
229,230.0,81.0,8,10
230,231.0,88.0,24,10
231,232.0,95.0,16,10
232,233.0,103.0,24,10
233,234.0,111.0,64,10
234,235.0,117.0,64,10
235,236.0,125.0,48,10
236,237.0,133.0,32,10
237,238.0,141.0,8,10
238,239.0,151.0,52,10
239,240.0,161.0,64,10
240,241.0,168.0,32,10
241,242.0,177.0,64,10
242,243.0,186.0,64,10
243,244.0,195.0,32,10
244,245.0,173.0,8,10
245,246.0,150.0,52,10
246,247.0,128.0,48,10
247,248.0,107.0,8,10
248,249.0,85.0,16,10
249,250.0,63.0,64,10
250,251.0,41.0,64,10
251,252.0,46.0,32,10
252,253.0,34.0,32,10
253,254.0,24.0,48,10
254,255.0,29.0,32,10
255,256.0,35.0,16,10
256,257.0,41.0,32,10
257,258.0,47.0,64,10
258,259.0,53.0,16,10
259,260.0,59.0,24,10
260,261.0,65.0,32,10
261,262.0,72.0,48,10
262,263.0,79.0,52,10
263,264.0,86.0,24,10
264,265.0,94.0,16,10
265,266.0,102.0,52,10
266,267.0,110.0,48,10
267,268.0,118.0,64,10
268,269.0,126.0,64,10
269,270.0,134.0,8,10
270,271.0,142.0,24,10
271,272.0,150.0,8,10
272,273.0,158.0,52,10
273,274.0,142.0,32,10
274,275.0,98.0,52,10
275,276.0,56.0,8,10
276,277.0,22.0,8,10
277,278.0,14.0,32,10
278,279.0,14.0,8,10
279,280.0,14.0,24,10
280,281.0,18.0,48,10
281,282.0,22.0,16,10
282,283.0,27.0,32,10
283,284.0,33.0,24,10
284,285.0,40.0,8,10
285,286.0,47.0,52,10
286,287.0,54.0,32,10
287,288.0,62.0,32,10
288,289.0,70.0,64,10
289,290.0,80.0,32,10
290,291.0,90.0,8,10
291,292.0,86.0,64,10
292,293.0,92.0,16,10
293,294.0,99.0,16,10
294,295.0,107.0,48,10
295,296.0,116.0,16,10
296,297.0,126.0,16,10
297,298.0,137.0,64,10
298,299.0,144.0,32,10
299,300.0,152.0,64,10
300,301.0,161.0,16,10
301,302.0,170.0,32,10
302,303.0,180.0,48,10
303,304.0,188.0,24,10
304,305.0,167.0,32,10
305,306.0,147.0,32,10
306,307.0,126.0,24,10
307,308.0,104.0,24,10
308,309.0,84.0,32,10
309,310.0,91.0,24,10
310,311.0,71.0,48,10
311,312.0,54.0,32,10
312,313.0,39.0,64,10
313,314.0,25.0,52,10
314,315.0,30.0,52,10
315,316.0,36.0,48,10
316,317.0,42.0,16,10
317,318.0,48.0,16,10
318,319.0,54.0,48,10
319,320.0,60.0,8,10
320,321.0,66.0,48,10
321,322.0,72.0,64,10
322,323.0,78.0,52,10
323,324.0,84.0,24,10
324,325.0,91.0,16,10
325,326.0,98.0,24,10
326,327.0,105.0,32,10
327,328.0,112.0,32,10
328,329.0,119.0,16,10
329,330.0,127.0,16,10
330,331.0,135.0,8,10
331,332.0,143.0,48,10
332,333.0,151.0,64,10
333,334.0,135.0,16,10
334,335.0,90.0,48,10
335,336.0,46.0,64,10
336,337.0,17.0,52,10
337,338.0,13.0,8,10
338,339.0,13.0,64,10
339,340.0,15.0,64,10
340,341.0,17.0,64,10
341,342.0,20.0,48,10
342,343.0,23.0,16,10
343,344.0,28.0,64,10
344,345.0,27.0,8,10
345,346.0,31.0,52,10
346,347.0,35.0,64,10
347,348.0,41.0,32,10
348,349.0,47.0,64,10
349,350.0,54.0,8,10
350,351.0,62.0,32,10
351,352.0,70.0,64,10
352,353.0,79.0,32,10
353,354.0,88.0,24,10
354,355.0,97.0,16,10
355,356.0,106.0,48,10
356,357.0,115.0,16,10
357,358.0,125.0,8,10
358,359.0,135.0,64,10
359,360.0,145.0,48,10
360,361.0,155.0,24,10
361,362.0,165.0,52,10
362,363.0,175.0,8,10
363,364.0,185.0,24,10
364,365.0,165.0,24,10
365,366.0,136.0,16,10
366,367.0,115.0,52,10
367,368.0,98.0,8,10
368,369.0,82.0,52,10
369,370.0,65.0,52,10
370,371.0,48.0,16,10
371,372.0,30.0,16,10
372,373.0,12.0,32,10
373,374.0,15.0,32,10
374,375.0,18.0,32,10
375,376.0,21.0,52,10
376,377.0,24.0,48,10
377,378.0,27.0,48,10
378,379.0,30.0,8,10
379,380.0,33.0,32,10
380,381.0,36.0,52,10
381,382.0,40.0,8,10
382,383.0,44.0,8,10
383,384.0,48.0,24,10
384,385.0,52.0,52,10
385,386.0,56.0,48,10
386,387.0,61.0,48,10
387,388.0,67.0,16,10
388,389.0,73.0,32,10
389,390.0,80.0,24,10
390,391.0,88.0,24,10
391,392.0,97.0,64,10
392,393.0,107.0,8,10
393,394.0,105.0,64,10
394,395.0,76.0,16,10
395,396.0,52.0,24,10
396,397.0,35.0,16,10
397,398.0,41.0,64,10
398,399.0,48.0,32,10
399,400.0,56.0,16,10
400,401.0,64.0,24,10
401,402.0,74.0,8,10
402,403.0,82.0,24,10
403,404.0,91.0,48,10
404,405.0,102.0,8,10
405,406.0,113.0,64,10
406,407.0,122.0,16,10
407,408.0,134.0,24,10
408,409.0,146.0,52,10
409,410.0,159.0,24,10
410,411.0,172.0,24,10
411,412.0,186.0,32,10
412,413.0,201.0,8,5
413,414.0,217.0,8,5
414,415.0,233.0,24,5
415,416.0,249.0,24,5
416,417.0,266.0,16,5
417,418.0,254.0,48,5
418,419.0,259.0,8,5
419,420.0,265.0,8,5
420,421.0,282.0,52,5
421,422.0,301.0,52,5
422,423.0,320.0,16,5
423,424.0,340.0,24,5
424,425.0,362.0,64,5
425,426.0,379.0,32,5
426,427.0,398.0,48,5
427,428.0,418.0,52,5
428,429.0,437.0,8,5
429,430.0,458.0,8,5
430,431.0,479.0,32,5
431,432.0,500.0,64,-10
432,433.0,521.0,32,-1
433,434.0,542.0,32,-1
434,435.0,563.0,8,-1
435,436.0,584.0,52,-1
436,437.0,605.0,32,-1
437,438.0,626.0,32,-1
438,439.0,647.0,64,-1
439,440.0,668.0,16,-1
440,441.0,689.0,24,-1
441,442.0,710.0,48,-1
442,443.0,731.0,48,-1
443,444.0,752.0,52,-1
444,445.0,773.0,16,-1
445,446.0,794.0,16,-1
446,447.0,815.0,48,-1
447,448.0,836.0,32,-1
448,449.0,857.0,24,-1
449,450.0,878.0,16,-1
450,451.0,899.0,16,-1
451,452.0,920.0,32,-1
452,453.0,941.0,52,-1
453,454.0,962.0,48,-1
454,455.0,952.0,52,-1
455,456.0,943.0,32,-1
456,457.0,962.0,8,-1
457,458.0,982.0,64,-1
458,459.0,1002.0,48,-1
459,460.0,1023.0,16,-1
460,461.0,1044.0,64,-1
461,462.0,1066.0,24,-1
462,463.0,1088.0,16,-1
463,464.0,1111.0,52,-1
464,465.0,1134.0,48,-1
465,466.0,1157.0,8,-1
466,467.0,1180.0,16,-1
467,468.0,1203.0,24,-1
468,469.0,1226.0,24,-1
469,470.0,1249.0,32,-1
470,471.0,1272.0,52,-1
471,472.0,1296.0,24,-1
472,473.0,1320.0,48,-1
473,474.0,1345.0,48,-1
474,475.0,1370.0,24,-1
475,476.0,1395.0,24,-1
476,477.0,1420.0,8,-1
477,478.0,1446.0,64,-1
478,479.0,1472.0,32,-1
479,480.0,1498.0,24,-1
480,481.0,1524.0,16,-1
481,482.0,1550.0,64,-1
482,483.0,1576.0,32,-1
483,484.0,1595.0,52,-1
484,485.0,1620.0,48,-1
485,486.0,1617.0,16,-1
486,487.0,1615.0,48,-1
487,488.0,1641.0,24,-1
488,489.0,1639.0,52,-1
489,490.0,1637.0,64,-1
490,491.0,1642.0,24,-1
491,492.0,1661.0,64,-1
492,493.0,1682.0,16,-1
493,494.0,1705.0,64,-1
494,495.0,1728.0,52,-1
495,496.0,1751.0,32,-1
496,497.0,1774.0,24,-1
497,498.0,1797.0,8,-1
498,499.0,1820.0,32,-1
499,500.0,1843.0,32,-1
500,501.0,1866.0,32,-1
501,502.0,1889.0,16,-1
502,503.0,1912.0,52,-1
503,504.0,1935.0,8,-1
504,505.0,1958.0,52,-1
505,506.0,1981.0,24,-1
506,507.0,2004.0,8,-1
507,508.0,2027.0,32,-1
508,509.0,2050.0,32,-1
509,510.0,2073.0,16,-1
510,511.0,2096.0,32,-1
511,512.0,2119.0,52,-1
512,513.0,2142.0,64,-1
513,514.0,2165.0,52,-1
514,515.0,2158.0,64,-1
515,516.0,2151.0,24,-1
516,517.0,2146.0,32,-1
517,518.0,2167.0,8,-1
518,519.0,2188.0,32,-1
519,520.0,2210.0,52,-1
520,521.0,2233.0,16,-1
521,522.0,2256.0,16,-1
522,523.0,2280.0,24,-1
523,524.0,2304.0,64,-1
524,525.0,2328.0,48,-1
525,526.0,2352.0,52,-1
526,527.0,2376.0,32,-1
527,528.0,2400.0,48,-1
528,529.0,2425.0,8,-1
529,530.0,2450.0,8,-1
530,531.0,2475.0,16,-1
531,532.0,2500.0,32,-1
