,Time,Wate,Action,Reward
0,1.0,0.0,24,10
1,2.0,0.0,16,10
2,3.0,0.0,16,10
3,4.0,0.0,52,10
4,5.0,0.0,24,10
5,6.0,0.0,16,10
6,7.0,0.0,64,10
7,8.0,0.0,24,10
8,9.0,0.0,32,10
9,10.0,0.0,16,10
10,11.0,0.0,16,10
11,12.0,0.0,52,10
12,13.0,0.0,32,10
13,14.0,0.0,52,10
14,15.0,0.0,52,10
15,16.0,0.0,16,10
16,17.0,0.0,64,10
17,18.0,0.0,48,10
18,19.0,0.0,52,10
19,20.0,0.0,24,10
20,21.0,0.0,32,10
21,22.0,0.0,16,10
22,23.0,0.0,16,10
23,24.0,0.0,24,10
24,25.0,0.0,64,10
25,26.0,0.0,64,10
26,27.0,0.0,64,10
27,28.0,0.0,52,10
28,29.0,0.0,8,10
29,30.0,0.0,8,10
30,31.0,0.0,16,10
31,32.0,0.0,16,10
32,33.0,0.0,32,10
33,34.0,0.0,32,10
34,35.0,0.0,48,10
35,36.0,0.0,32,10
36,37.0,0.0,24,10
37,38.0,0.0,16,10
38,39.0,0.0,32,10
39,40.0,0.0,52,10
40,41.0,0.0,64,10
41,42.0,0.0,24,10
42,43.0,0.0,32,10
43,44.0,0.0,64,10
44,45.0,0.0,8,10
45,46.0,0.0,52,10
46,47.0,0.0,8,10
47,48.0,0.0,64,10
48,49.0,0.0,52,10
49,50.0,0.0,24,10
50,51.0,0.0,8,10
51,52.0,0.0,64,10
52,53.0,0.0,64,10
53,54.0,0.0,24,10
54,55.0,0.0,64,10
55,56.0,0.0,64,10
56,57.0,0.0,8,10
57,58.0,0.0,32,10
58,59.0,0.0,64,10
59,60.0,0.0,24,10
60,61.0,0.0,48,10
61,62.0,0.0,8,10
62,63.0,0.0,8,10
63,64.0,0.0,64,10
64,65.0,0.0,16,10
65,66.0,0.0,8,10
66,67.0,0.0,52,10
67,68.0,0.0,32,10
68,69.0,0.0,16,10
69,70.0,0.0,32,10
70,71.0,0.0,48,10
71,72.0,0.0,52,10
72,73.0,0.0,64,10
73,74.0,0.0,32,10
74,75.0,0.0,8,10
75,76.0,0.0,48,10
76,77.0,0.0,64,10
77,78.0,0.0,48,10
78,79.0,0.0,24,10
79,80.0,0.0,48,10
80,81.0,0.0,52,10
81,82.0,0.0,52,10
82,83.0,0.0,8,10
83,84.0,0.0,8,10
84,85.0,0.0,64,10
85,86.0,0.0,64,10
86,87.0,0.0,24,10
87,88.0,0.0,8,10
88,89.0,0.0,24,10
89,90.0,0.0,8,10
90,91.0,0.0,8,10
91,92.0,0.0,48,10
92,93.0,0.0,32,10
93,94.0,0.0,24,10
94,95.0,0.0,48,10
95,96.0,0.0,8,10
96,97.0,0.0,8,10
97,98.0,0.0,32,10
98,99.0,0.0,48,10
99,100.0,0.0,8,10
100,101.0,1.0,8,10
101,102.0,2.0,64,10
102,103.0,3.0,64,10
103,104.0,5.0,8,10
104,105.0,8.0,48,10
105,106.0,12.0,8,10
106,107.0,16.0,16,10
107,108.0,20.0,64,10
108,109.0,25.0,48,10
109,110.0,31.0,32,10
110,111.0,28.0,8,10
111,112.0,33.0,52,10
112,113.0,25.0,8,10
113,114.0,18.0,8,10
114,115.0,10.0,8,10
115,116.0,5.0,16,10
116,117.0,0.0,64,10
117,118.0,0.0,8,10
118,119.0,0.0,16,10
119,120.0,0.0,8,10
120,121.0,0.0,52,10
121,122.0,0.0,52,10
122,123.0,0.0,64,10
123,124.0,0.0,24,10
124,125.0,0.0,52,10
125,126.0,0.0,8,10
126,127.0,0.0,64,10
127,128.0,0.0,24,10
128,129.0,0.0,8,10
129,130.0,0.0,48,10
130,131.0,0.0,32,10
131,132.0,0.0,64,10
132,133.0,0.0,48,10
133,134.0,0.0,8,10
134,135.0,0.0,48,10
135,136.0,0.0,24,10
136,137.0,0.0,48,10
137,138.0,0.0,8,10
138,139.0,0.0,64,10
139,140.0,0.0,24,10
140,141.0,1.0,32,10
141,142.0,2.0,16,10
142,143.0,3.0,16,10
143,144.0,4.0,48,10
