,SIM Time,Waiting Time,Waiting Car,Action,Reward
0,1,0.0,0,[8],7
1,2,0.0,0,[8],7
2,3,0.0,0,[32],7
3,4,0.0,0,[8],7
4,5,0.0,0,[48],7
5,6,0.0,0,[24],7
6,7,0.0,0,[64],7
7,8,0.0,0,[64],7
8,9,0.0,0,[48],7
9,10,0.0,0,[48],7
10,11,0.0,0,[24],7
11,12,0.0,0,[48],7
12,13,0.0,0,[52],7
13,14,0.0,0,[16],7
14,15,0.0,0,[32],7
15,16,0.0,0,[64],7
16,17,0.0,0,[16],7
17,18,0.0,0,[52],7
18,19,0.0,0,[32],7
19,20,0.0,0,[32],7
20,21,0.0,0,[32],7
21,22,0.0,0,[16],7
22,23,0.0,0,[24],7
23,24,0.0,0,[8],7
24,25,0.0,0,[16],7
25,26,0.0,0,[52],7
26,27,0.0,0,[8],7
27,28,0.0,0,[16],7
28,29,0.0,0,[24],7
29,30,0.0,0,[8],7
30,31,0.0,0,[48],7
31,32,0.0,0,[32],7
32,33,0.0,0,[48],7
33,34,0.0,2,[16],7
34,35,0.0,2,[24],7
35,36,0.0,1,[16],7
36,37,0.0,1,[48],7
37,38,0.0,1,[8],7
38,39,0.0,1,[8],7
39,40,0.0,1,[16],7
40,41,0.0,2,[32],7
41,42,0.0,1,[16],7
42,43,0.0,1,[24],7
43,44,0.0,0,[24],7
44,45,0.0,0,[48],7
45,46,0.0,0,[16],7
46,47,0.0,2,[48],7
47,48,0.0,1,[64],7
48,49,0.0,1,[52],7
49,50,0.0,2,[52],7
50,51,0.0,4,[8],7
51,52,0.0,4,[64],7
52,53,0.0,3,[24],7
53,54,0.0,2,[16],7
54,55,0.0,2,[64],7
55,56,0.0,2,[48],7
56,57,0.0,1,[16],7
57,58,0.0,1,[48],7
58,59,0.0,1,[8],7
59,60,0.0,1,[48],7
60,61,0.0,2,[64],7
61,62,0.0,1,[16],7
62,63,0.0,1,[48],7
63,64,0.0,3,[16],7
64,65,0.0,1,[32],7
65,66,0.0,1,[24],7
66,67,0.0,4,[24],7
67,68,0.0,4,[52],7
68,69,0.0,3,[32],7
69,70,0.0,3,[32],7
70,71,0.0,5,[48],7
71,72,0.0,5,[8],7
72,73,0.0,6,[16],7
73,74,0.0,3,[64],7
74,75,0.0,2,[32],7
75,76,0.0,4,[64],7
76,77,0.0,2,[8],7
77,78,0.0,3,[64],7
78,79,0.0,3,[32],7
79,80,0.0,3,[24],7
80,81,0.0,4,[52],7
81,82,0.0,5,[48],7
82,83,0.0,5,[64],7
83,84,0.0,3,[32],7
84,85,0.0,1,[48],7
85,86,0.0,2,[8],7
86,87,0.0,1,[52],7
87,88,0.0,1,[64],7
88,89,0.0,1,[52],7
89,90,0.0,1,[64],7
90,91,0.0,1,[8],7
91,92,0.0,2,[24],7
92,93,0.0,2,[24],7
93,94,0.0,3,[16],7
94,95,0.0,2,[16],7
95,96,0.0,1,[64],7
96,97,0.0,1,[16],7
97,98,0.0,1,[32],7
98,99,0.0,3,[32],7
99,100,0.0,2,[24],7
100,101,0.0,4,[24],7
101,102,0.0,4,[64],7
102,103,0.0,3,[52],7
103,104,0.0,5,[24],7
104,105,0.0,5,[32],7
105,106,0.0,5,[48],7
106,107,0.0,4,[16],7
107,108,0.0,2,[32],7
108,109,0.0,3,[32],7
109,110,0.0,4,[24],7
110,111,0.0,4,[64],7
111,112,0.0,3,[24],7
112,113,0.0,5,[48],7
113,114,0.0,4,[24],7
114,115,0.0,4,[48],7
115,116,0.0,4,[8],7
116,117,0.0,4,[24],7
117,118,0.0,4,[48],7
118,119,0.0,4,[24],7
119,120,0.0,5,[48],7
120,121,0.0,5,[64],7
121,122,0.0,5,[24],7
122,123,0.0,4,[32],7
123,124,0.0,5,[32],7
124,125,0.0,5,[24],7
125,126,1.0,5,[24],7
126,127,2.0,5,[24],7
127,128,4.0,5,[32],7
128,129,7.0,4,[16],7
129,130,11.0,4,[48],7
130,131,9.0,5,[24],7
131,132,12.0,5,[16],7
132,133,15.0,4,[48],7
133,134,18.0,5,[52],7
134,135,21.0,6,[24],7
135,136,24.0,6,[52],7
136,137,27.0,7,[8],7
137,138,19.0,9,[32],7
138,139,11.0,8,[52],7
139,140,2.0,7,[48],7
140,141,0.0,7,[64],7
141,142,1.0,9,[24],7
142,143,0.0,8,[16],7
143,144,0.0,8,[64],7
144,145,0.0,7,[48],7
145,146,0.0,6,[52],7
146,147,1.0,8,[64],7
147,148,2.0,8,[32],7
148,149,3.0,9,[32],7
149,150,4.0,10,[24],7
150,151,5.0,9,[52],7
151,152,6.0,10,[32],7
152,153,7.0,10,[16],7
153,154,8.0,9,[8],7
154,155,10.0,9,[16],7
155,156,12.0,9,[24],7
156,157,14.0,10,[8],7
157,158,16.0,10,[48],7
158,159,18.0,11,[32],7
159,160,7.0,10,[24],7
160,161,2.0,11,[8],7
161,162,4.0,12,[8],7
162,163,7.0,11,[32],7
163,164,10.0,11,[8],7
164,165,14.0,9,[64],7
165,166,19.0,11,[48],7
166,167,25.0,11,[16],7
167,168,31.0,11,[64],7
168,169,37.0,11,[8],7
169,170,43.0,10,[48],7
170,171,50.0,11,[48],7
171,172,58.0,11,[32],7
172,173,66.0,12,[16],7
173,174,74.0,11,[64],7
174,175,82.0,12,[24],7
175,176,90.0,12,[16],7
176,177,99.0,12,[48],7
177,178,108.0,13,[52],7
178,179,118.0,14,[8],7
179,180,128.0,13,[48],7
180,181,139.0,14,[8],7
181,182,118.0,15,[24],7
182,183,103.0,14,[32],7
183,184,89.0,14,[52],7
184,185,75.0,14,[16],7
185,186,61.0,14,[52],7
186,187,67.0,13,[32],7
187,188,51.0,11,[16],7
188,189,37.0,12,[8],7
189,190,22.0,11,[24],7
190,191,19.0,10,[52],7
191,192,21.0,12,[24],7
192,193,23.0,10,[8],7
193,194,25.0,11,[8],7
194,195,27.0,11,[52],7
195,196,29.0,12,[48],7
196,197,32.0,13,[64],7
197,198,33.0,13,[48],7
198,199,36.0,12,[24],7
199,200,39.0,12,[64],7
200,201,42.0,12,[32],7
201,202,45.0,15,[48],7
202,203,48.0,14,[24],7
203,204,29.0,14,[32],7
204,205,32.0,15,[48],7
205,206,36.0,14,[24],7
206,207,6.0,15,[64],7
207,208,9.0,14,[8],7
208,209,13.0,13,[16],7
209,210,18.0,16,[52],7
210,211,25.0,14,[48],7
211,212,32.0,14,[24],7
212,213,40.0,14,[8],7
213,214,50.0,14,[16],7
214,215,61.0,14,[48],7
215,216,73.0,14,[8],7
216,217,75.0,15,[52],7
217,218,83.0,15,[24],7
218,219,93.0,16,[52],7
219,220,103.0,15,[8],7
220,221,98.0,14,[32],7
221,222,107.0,14,[64],7
222,223,116.0,13,[32],7
223,224,126.0,14,[64],7
224,225,136.0,14,[8],7
225,226,122.0,15,[52],7
226,227,109.0,15,[48],7
227,228,98.0,13,[16],7
228,229,86.0,13,[32],7
229,230,93.0,12,[48],7
230,231,79.0,11,[8],7
231,232,65.0,12,[16],7
232,233,50.0,10,[64],7
233,234,34.0,10,[48],7
234,235,18.0,9,[32],7
235,236,20.0,9,[8],7
236,237,22.0,8,[8],7
237,238,24.0,9,[64],7
238,239,26.0,9,[32],7
239,240,28.0,10,[24],7
240,241,30.0,11,[48],7
241,242,32.0,10,[32],7
242,243,34.0,13,[32],7
243,244,36.0,11,[24],7
244,245,38.0,11,[24],7
245,246,40.0,13,[52],7
246,247,42.0,13,[16],7
247,248,21.0,13,[24],7
248,249,0.0,10,[8],7
249,250,1.0,10,[24],7
250,251,2.0,11,[64],7
251,252,4.0,10,[52],7
252,253,7.0,11,[48],7
253,254,10.0,11,[52],7
254,255,14.0,12,[48],7
255,256,18.0,14,[64],7
256,257,22.0,13,[8],7
257,258,27.0,13,[24],7
