,Time
0,32
1,24
2,32
3,8
4,48
5,52
6,64
7,48
8,8
9,8
10,16
11,48
12,24
13,16
14,16
15,24
16,24
17,64
18,32
19,16
20,48
21,64
22,32
23,64
24,8
25,32
26,16
27,24
28,8
29,16
30,64
31,32
32,52
33,48
34,52
35,32
36,16
37,48
38,24
39,8
40,48
41,32
42,64
43,48
44,64
45,64
46,64
47,8
48,32
49,8
50,32
51,8
52,48
53,24
54,64
55,32
56,24
57,8
58,64
59,24
60,24
61,24
62,24
63,32
64,32
65,32
66,24
67,24
68,8
69,52
70,64
71,48
72,16
73,64
74,48
75,24
76,16
77,8
78,24
79,64
80,8
81,52
82,48
83,32
84,32
85,64
86,64
87,64
88,24
89,24
90,32
91,48
92,64
93,64
94,8
95,32
96,32
97,24
98,8
99,24
100,32
101,16
102,64
103,52
104,8
105,24
106,48
107,8
108,32
109,64
110,52
111,52
112,52
113,32
114,64
115,8
116,8
117,64
118,8
119,64
120,32
121,48
122,64
123,24
124,24
125,16
126,24
127,8
128,64
129,16
130,52
131,52
132,32
133,48
134,24
135,16
136,52
137,64
138,52
139,64
140,16
141,16
142,16
143,64
144,24
145,24
146,24
147,64
148,64
149,64
150,8
151,32
152,52
153,48
154,32
155,52
156,48
157,48
158,52
159,52
160,48
161,48
162,52
163,64
164,8
165,16
166,52
167,52
168,52
169,48
170,8
171,16
172,52
173,48
174,64
175,8
176,24
177,8
178,8
179,64
180,52
181,48
182,48
183,8
184,16
185,24
186,52
187,16
188,32
189,64
190,32
191,32
192,32
193,48
194,48
195,16
196,32
197,24
198,32
199,24
200,64
201,8
202,48
203,64
204,8
205,8
206,48
207,8
208,16
209,52
210,48
211,8
212,24
213,24
214,32
215,8
216,8
217,64
218,16
219,48
220,8
221,24
222,64
223,24
224,24
225,8
226,52
227,48
228,16
229,32
230,48
231,16
232,64
233,24
234,48
235,32
236,8
237,24
238,64
239,52
240,16
241,32
242,32
243,8
244,32
245,24
246,64
247,8
248,64
249,16
250,24
251,52
252,64
253,8
254,24
255,8
256,52
257,32
258,52
259,8
260,64
261,64
262,48
263,48
264,32
265,48
266,24
267,32
268,52
269,64
270,8
271,8
272,32
273,48
274,8
275,8
276,8
277,32
278,48
279,24
280,64
281,24
282,16
283,52
284,8
285,24
286,8
287,32
288,16
289,64
290,64
291,8
292,16
293,24
294,48
295,24
296,48
297,16
298,16
299,48
300,64
301,52
302,8
303,32
304,48
305,16
306,16
307,24
308,8
309,52
310,64
311,16
312,24
313,52
314,24
315,16
316,52
317,52
318,32
319,24
320,32
321,64
322,8
323,64
324,8
325,24
326,52
327,8
328,64
329,32
330,48
331,32
332,32
333,24
334,48
335,52
336,48
337,52
338,64
339,16
340,24
341,8
342,52
343,8
344,64
345,64
346,8
347,24
348,8
349,24
350,32
351,16
352,32
353,48
354,64
355,32
356,16
357,8
358,52
359,64
360,24
361,24
362,32
363,48
364,32
365,24
366,52
367,8
368,64
369,8
370,32
371,64
372,64
373,52
374,8
375,24
376,8
377,52
378,16
379,24
380,32
381,64
382,64
383,64
384,48
385,16
386,8
387,24
388,64
389,52
390,32
391,16
392,16
393,64
394,16
395,52
396,48
397,16
398,16
399,32
400,32
401,8
402,52
403,52
404,52
405,8
406,8
407,48
408,48
409,64
410,16
411,64
412,16
413,48
414,8
415,24
416,8
417,48
418,48
419,48
420,24
421,16
422,24
423,48
424,64
425,32
426,32
427,8
428,52
429,8
430,8
431,24
432,32
433,64
434,24
435,52
436,64
437,48
438,8
439,32
440,48
441,48
442,32
443,16
444,16
445,32
446,24
447,48
448,64
449,8
450,16
451,16
452,52
453,32
454,52
455,52
456,24
457,16
458,48
459,16
460,8
461,32
462,24
463,64
464,32
465,52
466,24
467,24
468,48
469,64
470,64
471,8
472,52
473,52
474,8
475,8
476,16
477,52
478,24
479,52
480,24
481,52
482,48
483,32
484,64
485,32
486,64
487,48
488,52
489,48
490,24
491,8
492,24
493,32
494,24
495,48
496,52
497,52
498,24
499,24
500,8
501,32
502,24
503,64
504,16
505,32
506,24
507,64
508,16
509,8
510,16
511,48
512,24
513,24
514,24
515,52
516,64
517,48
518,16
519,64
520,8
521,8
522,64
523,64
524,48
525,64
526,52
527,52
528,24
529,64
530,24
531,64
532,24
533,24
534,64
535,64
536,52
537,8
538,64
539,64
540,16
541,32
542,8
543,16
544,24
545,64
546,32
547,64
548,32
549,52
550,52
551,64
552,32
553,24
554,64
555,52
556,24
557,32
558,32
559,8
560,52
561,16
562,24
563,8
564,64
565,16
566,8
567,8
568,16
569,8
570,24
571,64
572,16
573,48
574,48
575,32
576,8
577,16
578,64
579,24
580,52
581,48
582,48
583,64
584,16
585,52
586,16
587,48
588,32
589,52
590,52
591,52
592,32
593,8
594,48
595,48
596,16
597,16
598,64
599,32
600,24
601,24
602,8
603,24
604,64
605,8
606,16
607,24
608,8
609,64
610,32
611,16
612,32
613,64
614,52
615,64
616,8
617,32
618,64
619,52
620,24
621,52
622,24
623,16
624,48
625,48
626,8
627,16
628,64
629,24
630,32
631,8
632,8
633,48
634,16
635,52
636,48
637,64
638,24
639,32
640,16
641,16
642,8
643,52
644,64
645,8
646,52
647,48
648,64
649,24
650,52
651,8
652,8
653,24
654,52
655,16
656,32
657,8
658,48
659,8
660,52
661,24
662,24
663,32
664,32
665,24
666,16
667,24
668,24
669,32
670,16
671,8
672,8
673,16
674,48
675,64
676,32
677,52
678,32
679,16
680,24
681,52
682,64
683,64
684,64
685,32
686,52
687,52
688,64
689,24
690,48
691,52
692,32
693,32
694,64
695,64
696,32
697,64
698,32
699,8
700,8
701,24
702,16
703,64
704,52
705,16
706,8
707,32
708,32
709,48
710,24
711,24
712,48
713,52
714,48
715,24
716,64
717,16
718,48
719,52
720,64
721,24
722,64
723,64
724,8
725,52
726,8
727,16
728,52
729,48
730,8
731,16
732,24
733,32
734,64
735,48
736,64
737,64
738,52
739,48
740,32
741,8
742,48
743,32
744,52
745,64
746,52
747,16
748,24
749,24
750,64
751,64
752,16
753,48
754,32
755,64
756,64
757,48
758,48
759,8
760,64
761,64
762,8
763,24
764,48
765,64
766,8
767,32
768,52
769,16
770,16
771,32
772,64
773,8
774,8
775,64
776,64
777,52
778,24
779,64
780,32
781,64
782,24
783,64
784,16
785,16
786,64
787,8
788,48
789,16
790,24
791,32
792,8
793,24
794,52
795,8
796,24
797,16
798,64
799,48
800,48
801,52
802,8
803,64
804,32
805,52
806,64
807,48
808,24
809,24
810,16
811,64
812,16
813,32
814,32
815,16
816,52
817,24
818,16
819,16
820,8
821,24
822,16
823,24
824,64
825,48
826,16
827,64
828,52
829,64
830,16
831,16
832,48
833,32
834,24
835,24
836,24
837,16
838,24
839,24
840,48
841,64
842,8
843,8
844,52
845,48
846,16
847,52
848,52
849,16
850,24
851,52
852,32
853,16
854,64
855,32
856,52
857,64
858,64
859,32
860,64
861,64
862,48
863,64
864,16
865,64
866,16
867,64
868,32
869,8
870,24
871,32
872,64
873,32
874,48
875,32
876,64
877,8
878,16
879,48
880,24
881,16
882,8
883,52
884,32
885,64
886,8
887,48
888,64
889,52
890,52
891,32
892,52
893,48
894,64
895,64
896,8
897,32
898,16
899,64
900,52
901,8
902,16
903,48
904,52
905,8
906,52
907,8
908,64
909,52
910,64
911,32
912,8
913,52
914,16
915,24
916,16
917,52
918,48
919,52
920,64
921,52
922,24
923,16
924,48
925,8
926,48
927,48
928,48
929,52
930,24
931,8
932,64
933,16
934,24
935,16
936,52
937,64
938,8
939,32
940,32
941,52
942,52
943,52
944,64
945,52
946,64
947,64
948,48
949,52
950,32
951,16
952,32
953,8
954,64
955,48
956,52
957,24
958,32
959,16
960,16
961,16
962,8
963,32
964,52
965,24
966,48
967,64
968,16
969,16
970,64
