,SIM Time,Waiting Time,Waiting Car,Action,Reward
0,1.0,0.0,0,16,7
1,2.0,0.0,0,64,7
2,3.0,0.0,0,52,7
3,4.0,0.0,0,16,7
4,5.0,0.0,0,48,7
5,6.0,0.0,0,64,7
6,7.0,0.0,0,8,7
7,8.0,0.0,0,8,7
8,9.0,0.0,0,16,7
9,10.0,0.0,0,48,7
10,11.0,0.0,0,16,7
11,12.0,0.0,0,24,7
12,13.0,0.0,0,32,7
13,14.0,0.0,0,16,7
14,15.0,0.0,0,32,7
15,16.0,0.0,0,64,7
16,17.0,0.0,0,16,7
17,18.0,0.0,0,64,7
18,19.0,0.0,0,52,7
19,20.0,0.0,0,8,7
20,21.0,0.0,0,48,7
21,22.0,0.0,0,8,7
22,23.0,0.0,0,64,7
23,24.0,0.0,0,52,7
24,25.0,0.0,0,48,7
25,26.0,0.0,0,52,7
26,27.0,0.0,0,32,7
27,28.0,0.0,0,48,7
28,29.0,0.0,0,8,7
29,30.0,0.0,0,24,7
30,31.0,0.0,0,16,7
31,32.0,0.0,0,48,7
32,33.0,0.0,2,52,7
33,34.0,0.0,2,32,7
34,35.0,0.0,1,8,7
35,36.0,0.0,1,8,7
36,37.0,0.0,1,24,7
37,38.0,0.0,1,32,7
38,39.0,0.0,1,32,7
39,40.0,0.0,1,8,7
40,41.0,0.0,0,32,7
41,42.0,0.0,0,48,7
42,43.0,0.0,0,32,7
43,44.0,0.0,0,16,7
44,45.0,0.0,0,24,7
45,46.0,0.0,2,16,7
46,47.0,0.0,1,52,7
47,48.0,0.0,1,52,7
48,49.0,0.0,2,32,7
49,50.0,0.0,3,8,7
50,51.0,0.0,4,32,7
51,52.0,0.0,3,16,7
52,53.0,0.0,2,24,7
53,54.0,0.0,2,8,7
54,55.0,0.0,2,52,7
55,56.0,0.0,2,24,7
56,57.0,0.0,1,64,7
57,58.0,0.0,1,48,7
58,59.0,0.0,1,8,7
59,60.0,0.0,3,8,7
60,61.0,0.0,2,24,7
61,62.0,0.0,2,48,7
62,63.0,0.0,3,32,7
63,64.0,0.0,1,16,7
64,65.0,0.0,1,32,7
65,66.0,0.0,4,52,7
66,67.0,0.0,4,52,7
67,68.0,0.0,3,52,7
68,69.0,0.0,3,64,7
69,70.0,0.0,5,52,7
70,71.0,0.0,5,16,7
71,72.0,0.0,6,16,7
72,73.0,0.0,4,52,7
73,74.0,0.0,3,32,7
74,75.0,0.0,4,24,7
75,76.0,0.0,3,24,7
76,77.0,0.0,2,48,7
77,78.0,0.0,2,8,7
78,79.0,0.0,4,52,7
79,80.0,0.0,3,16,7
80,81.0,0.0,4,8,7
81,82.0,0.0,4,16,7
82,83.0,0.0,2,52,7
83,84.0,0.0,2,52,7
84,85.0,0.0,2,48,7
85,86.0,0.0,3,16,7
86,87.0,0.0,2,24,7
87,88.0,0.0,1,48,7
88,89.0,0.0,1,52,7
89,90.0,0.0,1,52,7
90,91.0,0.0,2,32,7
91,92.0,0.0,2,64,7
92,93.0,0.0,3,52,7
93,94.0,0.0,3,16,7
94,95.0,0.0,1,24,7
95,96.0,0.0,1,16,7
96,97.0,0.0,1,16,7
97,98.0,0.0,2,16,7
98,99.0,0.0,1,8,7
99,100.0,0.0,2,52,7
100,101.0,0.0,2,16,7
101,102.0,0.0,1,64,7
102,103.0,0.0,3,52,7
103,104.0,0.0,4,32,7
104,105.0,0.0,4,48,7
105,106.0,0.0,5,24,7
106,107.0,0.0,3,24,7
107,108.0,0.0,3,32,7
108,109.0,0.0,4,16,7
109,110.0,0.0,3,8,7
110,111.0,0.0,4,32,7
111,112.0,0.0,3,52,7
112,113.0,0.0,3,48,7
113,114.0,0.0,3,48,7
114,115.0,0.0,1,24,7
115,116.0,0.0,2,64,7
116,117.0,0.0,2,64,7
117,118.0,0.0,3,48,7
118,119.0,0.0,3,24,7
119,120.0,0.0,4,8,7
120,121.0,0.0,3,16,7
121,122.0,0.0,4,8,7
122,123.0,0.0,3,24,7
123,124.0,0.0,4,52,7
124,125.0,0.0,3,16,7
125,126.0,0.0,3,16,7
126,127.0,1.0,2,32,7
127,128.0,3.0,2,48,7
128,129.0,5.0,2,8,7
129,130.0,7.0,3,64,7
130,131.0,4.0,4,24,7
131,132.0,0.0,4,24,7
132,133.0,0.0,3,52,7
133,134.0,0.0,4,24,7
134,135.0,0.0,6,16,7
135,136.0,0.0,5,8,7
136,137.0,0.0,7,16,7
137,138.0,0.0,7,52,7
138,139.0,0.0,6,48,7
139,140.0,0.0,8,8,7
140,141.0,0.0,8,64,7
141,142.0,0.0,7,24,7
142,143.0,0.0,7,52,7
143,144.0,0.0,6,64,7
144,145.0,0.0,7,52,7
145,146.0,1.0,6,64,7
146,147.0,2.0,6,64,7
147,148.0,3.0,7,24,7
148,149.0,5.0,7,32,7
149,150.0,7.0,7,32,7
150,151.0,9.0,6,32,7
151,152.0,11.0,7,8,7
152,153.0,13.0,6,16,7
153,154.0,15.0,7,48,7
154,155.0,17.0,8,32,7
155,156.0,19.0,9,48,7
156,157.0,21.0,9,48,7
157,158.0,23.0,10,48,7
158,159.0,12.0,10,16,7
159,160.0,3.0,10,52,7
160,161.0,5.0,12,32,7
161,162.0,8.0,10,8,7
162,163.0,11.0,11,32,7
163,164.0,15.0,10,52,7
164,165.0,20.0,12,32,7
165,166.0,25.0,12,32,7
166,167.0,30.0,12,48,7
167,168.0,36.0,12,8,7
168,169.0,42.0,11,64,7
169,170.0,49.0,14,24,7
170,171.0,56.0,13,52,7
171,172.0,65.0,14,64,7
172,173.0,59.0,14,8,7
173,174.0,52.0,13,48,7
174,175.0,45.0,12,52,7
175,176.0,39.0,13,52,7
176,177.0,32.0,12,48,7
177,178.0,26.0,12,64,7
178,179.0,30.0,11,52,7
179,180.0,23.0,11,16,7
180,181.0,17.0,11,64,7
181,182.0,20.0,9,32,7
182,183.0,23.0,9,24,7
183,184.0,26.0,12,16,7
184,185.0,29.0,12,52,7
185,186.0,32.0,13,52,7
186,187.0,19.0,13,8,7
187,188.0,9.0,14,8,7
188,189.0,2.0,14,16,7
189,190.0,6.0,12,48,7
190,191.0,8.0,13,8,7
191,192.0,12.0,14,24,7
192,193.0,17.0,13,24,7
193,194.0,23.0,13,24,7
194,195.0,27.0,14,8,7
195,196.0,34.0,15,52,7
196,197.0,41.0,16,8,7
197,198.0,49.0,17,64,7
198,199.0,58.0,15,64,7
199,200.0,67.0,16,24,7
200,201.0,62.0,17,24,7
201,202.0,57.0,17,64,7
202,203.0,50.0,16,16,7
203,204.0,43.0,14,52,7
204,205.0,35.0,14,48,7
205,206.0,29.0,12,32,7
206,207.0,21.0,11,24,7
207,208.0,14.0,10,64,7
208,209.0,17.0,10,32,7
209,210.0,8.0,11,8,7
210,211.0,10.0,8,52,7
211,212.0,12.0,9,48,7
212,213.0,14.0,10,16,7
213,214.0,16.0,10,24,7
214,215.0,8.0,10,16,7
215,216.0,0.0,12,16,7
216,217.0,3.0,12,64,7
217,218.0,6.0,12,64,7
218,219.0,7.0,13,52,7
219,220.0,10.0,12,16,7
220,221.0,14.0,13,52,7
221,222.0,19.0,13,24,7
222,223.0,24.0,13,8,7
223,224.0,29.0,13,8,7
224,225.0,35.0,14,24,7
225,226.0,42.0,14,64,7
226,227.0,51.0,14,64,7
227,228.0,58.0,14,48,7
228,229.0,57.0,14,24,7
229,230.0,55.0,14,8,7
230,231.0,47.0,14,8,7
231,232.0,41.0,14,32,7
232,233.0,37.0,12,64,7
233,234.0,34.0,13,64,7
234,235.0,31.0,12,16,7
235,236.0,28.0,10,16,7
236,237.0,23.0,11,32,7
237,238.0,26.0,11,48,7
238,239.0,29.0,11,64,7
239,240.0,32.0,13,48,7
240,241.0,35.0,12,16,7
241,242.0,38.0,12,48,7
242,243.0,27.0,14,24,7
243,244.0,16.0,14,32,7
244,245.0,5.0,13,8,7
245,246.0,8.0,14,24,7
246,247.0,11.0,15,16,7
247,248.0,14.0,14,32,7
248,249.0,18.0,13,48,7
249,250.0,23.0,14,52,7
250,251.0,29.0,13,32,7
251,252.0,35.0,13,64,7
252,253.0,42.0,14,8,7
253,254.0,50.0,15,48,7
254,255.0,59.0,16,64,7
255,256.0,69.0,17,48,7
256,257.0,65.0,17,16,7
257,258.0,56.0,18,8,7
258,259.0,51.0,18,48,7
259,260.0,47.0,17,32,7
260,261.0,43.0,16,48,7
261,262.0,38.0,16,16,7
262,263.0,33.0,15,8,7
263,264.0,38.0,15,8,7
264,265.0,31.0,16,16,7
265,266.0,24.0,14,32,7
266,267.0,27.0,14,52,7
267,268.0,31.0,15,32,7
268,269.0,36.0,14,48,7
269,270.0,31.0,15,52,7
270,271.0,16.0,15,64,7
271,272.0,5.0,17,16,7
272,273.0,8.0,16,52,7
273,274.0,11.0,17,64,7
274,275.0,15.0,16,64,7
275,276.0,21.0,16,8,7
276,277.0,27.0,18,16,7
277,278.0,36.0,18,16,7
278,279.0,39.0,18,24,7
279,280.0,46.0,18,64,7
280,281.0,54.0,20,48,7
281,282.0,63.0,19,32,7
282,283.0,74.0,20,32,7
283,284.0,89.0,21,64,7
284,285.0,87.0,21,48,7
285,286.0,88.0,21,32,7
286,287.0,86.0,20,24,7
287,288.0,60.0,19,32,7
288,289.0,57.0,20,52,7
289,290.0,52.0,17,48,7
290,291.0,48.0,17,48,7
291,292.0,45.0,16,8,7
292,293.0,41.0,15,16,7
293,294.0,46.0,15,32,7
294,295.0,51.0,13,32,7
295,296.0,56.0,13,32,7
296,297.0,61.0,13,64,7
297,298.0,50.0,13,16,7
298,299.0,22.0,12,8,7
299,300.0,0.0,13,52,7
300,301.0,1.0,13,52,7
301,302.0,2.0,13,64,7
302,303.0,5.0,14,24,7
303,304.0,6.0,11,24,7
304,305.0,9.0,14,16,7
305,306.0,13.0,14,24,7
306,307.0,17.0,15,8,7
307,308.0,22.0,14,16,7
308,309.0,28.0,14,48,7
309,310.0,35.0,16,32,7
310,311.0,42.0,16,52,7
311,312.0,51.0,16,52,7
312,313.0,49.0,16,48,7
313,314.0,46.0,17,32,7
314,315.0,45.0,17,8,7
315,316.0,44.0,16,24,7
316,317.0,45.0,16,16,7
317,318.0,45.0,14,16,7
318,319.0,44.0,14,16,7
319,320.0,44.0,14,52,7
320,321.0,42.0,13,52,7
321,322.0,48.0,14,32,7
322,323.0,54.0,15,8,7
323,324.0,60.0,15,24,7
324,325.0,66.0,16,8,7
325,326.0,57.0,15,64,7
326,327.0,49.0,16,8,7
327,328.0,28.0,17,64,7
328,329.0,17.0,19,64,7
329,330.0,8.0,17,8,7
330,331.0,11.0,18,32,7
331,332.0,19.0,16,48,7
332,333.0,27.0,17,16,7
333,334.0,36.0,17,64,7
334,335.0,39.0,18,48,7
335,336.0,48.0,20,64,7
336,337.0,57.0,20,24,7
337,338.0,67.0,20,48,7
338,339.0,79.0,19,24,7
339,340.0,93.0,19,32,7
340,341.0,90.0,18,32,7
341,342.0,81.0,16,52,7
342,343.0,77.0,15,16,7
343,344.0,73.0,15,16,7
344,345.0,69.0,16,24,7
345,346.0,63.0,14,64,7
346,347.0,57.0,14,32,7
347,348.0,50.0,14,24,7
348,349.0,46.0,13,64,7
349,350.0,42.0,13,48,7
350,351.0,46.0,13,64,7
351,352.0,50.0,13,52,7
352,353.0,55.0,13,24,7
353,354.0,44.0,12,48,7
354,355.0,17.0,13,52,7
355,356.0,1.0,13,64,7
356,357.0,2.0,11,16,7
357,358.0,4.0,10,48,7
358,359.0,6.0,11,48,7
359,360.0,10.0,11,8,7
360,361.0,12.0,11,16,7
361,362.0,16.0,12,8,7
362,363.0,21.0,12,52,7
363,364.0,26.0,14,16,7
364,365.0,32.0,15,32,7
365,366.0,38.0,15,64,7
366,367.0,46.0,17,16,7
367,368.0,55.0,16,64,7
368,369.0,52.0,17,24,7
369,370.0,50.0,17,8,7
370,371.0,50.0,16,32,7
371,372.0,50.0,16,32,7
372,373.0,49.0,15,8,7
373,374.0,48.0,15,8,7
374,375.0,56.0,15,8,7
375,376.0,54.0,14,16,7
376,377.0,53.0,13,32,7
377,378.0,51.0,13,32,7
378,379.0,57.0,14,52,7
379,380.0,63.0,13,52,7
380,381.0,69.0,13,32,7
381,382.0,60.0,14,24,7
382,383.0,35.0,14,16,7
383,384.0,12.0,15,24,7
384,385.0,6.0,15,52,7
385,386.0,9.0,15,16,7
386,387.0,12.0,17,64,7
387,388.0,16.0,16,24,7
388,389.0,21.0,18,52,7
389,390.0,27.0,18,32,7
390,391.0,35.0,17,16,7
391,392.0,43.0,17,24,7
392,393.0,53.0,19,48,7
393,394.0,64.0,18,52,7
394,395.0,76.0,20,8,7
395,396.0,90.0,21,16,7
396,397.0,89.0,21,48,7
397,398.0,88.0,22,16,7
398,399.0,88.0,22,32,7
399,400.0,89.0,21,48,7
400,401.0,91.0,22,64,7
401,402.0,105.0,21,16,7
402,403.0,107.0,21,8,7
403,404.0,109.0,20,8,7
404,405.0,112.0,20,32,7
405,406.0,114.0,20,24,7
406,407.0,126.0,19,48,7
407,408.0,138.0,18,48,7
408,409.0,150.0,18,8,7
409,410.0,162.0,18,64,5
410,411.0,162.0,18,16,5
411,412.0,161.0,17,52,5
412,413.0,171.0,16,64,5
413,414.0,181.0,17,32,5
414,415.0,191.0,18,64,5
415,416.0,201.0,18,8,5
416,417.0,212.0,19,16,5
417,418.0,223.0,20,24,5
418,419.0,234.0,21,48,5
419,420.0,247.0,21,48,5
420,421.0,260.0,23,48,5
421,422.0,273.0,22,48,5
422,423.0,287.0,23,52,5
423,424.0,302.0,24,16,3
424,425.0,309.0,24,32,3
425,426.0,312.0,24,16,3
426,427.0,321.0,23,8,3
427,428.0,332.0,25,48,3
428,429.0,348.0,24,32,3
429,430.0,358.0,24,52,3
430,431.0,368.0,24,48,3
431,432.0,378.0,24,8,3
432,433.0,388.0,24,8,3
433,434.0,398.0,23,8,3
434,435.0,412.0,23,8,3
435,436.0,427.0,21,16,3
436,437.0,443.0,22,64,3
437,438.0,459.0,23,8,3
438,439.0,462.0,24,48,3
439,440.0,465.0,24,52,3
440,441.0,481.0,25,16,3
441,442.0,498.0,23,16,3
442,443.0,516.0,23,48,-3
443,444.0,535.0,22,48,-3
444,445.0,556.0,24,32,-3
445,446.0,577.0,25,52,-3
446,447.0,589.0,27,8,-3
447,448.0,608.0,25,48,-9
448,449.0,627.0,24,16,-9
449,450.0,646.0,24,24,-9
450,451.0,666.0,25,16,-9
451,452.0,686.0,26,32,-9
452,453.0,708.0,26,52,-9
453,454.0,731.0,26,16,-9
454,455.0,750.0,26,64,-9
455,456.0,769.0,27,48,-9
456,457.0,789.0,26,64,-9
457,458.0,810.0,26,8,-9
458,459.0,830.0,26,64,-9
459,460.0,851.0,25,48,-9
460,461.0,872.0,25,64,-9
461,462.0,893.0,25,64,-9
462,463.0,914.0,25,64,-9
463,464.0,935.0,24,52,-9
464,465.0,956.0,24,24,-9
465,466.0,977.0,25,32,-9
466,467.0,983.0,25,16,-9
467,468.0,988.0,25,52,-9
468,469.0,1007.0,26,24,-9
469,470.0,1027.0,26,8,-9
470,471.0,1047.0,27,24,-9
471,472.0,1068.0,26,64,-9
472,473.0,1090.0,26,16,-9
473,474.0,1113.0,27,16,-9
474,475.0,1136.0,27,24,-9
475,476.0,1159.0,28,64,-9
476,477.0,1183.0,27,64,-9
477,478.0,1207.0,29,64,-9
478,479.0,1232.0,29,32,-9
479,480.0,1257.0,30,16,-9
480,481.0,1284.0,30,52,-9
481,482.0,1297.0,31,48,-9
482,483.0,1311.0,31,8,-9
483,484.0,1324.0,31,52,-9
484,485.0,1348.0,30,52,-9
485,486.0,1372.0,30,24,-9
486,487.0,1382.0,28,52,-9
487,488.0,1393.0,26,24,-9
488,489.0,1405.0,26,8,-9
489,490.0,1425.0,26,64,-9
490,491.0,1446.0,25,16,-9
491,492.0,1467.0,26,52,-9
492,493.0,1488.0,29,16,-9
493,494.0,1509.0,29,52,-9
494,495.0,1515.0,28,32,-9
495,496.0,1521.0,28,52,-9
496,497.0,1542.0,28,8,-9
497,498.0,1563.0,27,16,-9
498,499.0,1584.0,27,52,-9
499,500.0,1606.0,28,8,-9
500,501.0,1629.0,28,24,-9
501,502.0,1652.0,27,48,-9
502,503.0,1676.0,28,24,-9
503,504.0,1701.0,27,64,-9
504,505.0,1726.0,27,52,-9
505,506.0,1751.0,28,64,-9
506,507.0,1768.0,28,16,-9
507,508.0,1790.0,28,48,-9
508,509.0,1814.0,28,32,-9
509,510.0,1823.0,28,32,-9
510,511.0,1848.0,29,52,-9
511,512.0,1857.0,29,32,-9
512,513.0,1868.0,27,8,-9
513,514.0,1872.0,28,16,-9
514,515.0,1893.0,28,52,-9
515,516.0,1914.0,27,32,-9
516,517.0,1935.0,27,32,-9
517,518.0,1956.0,27,16,-9
518,519.0,1977.0,25,24,-9
519,520.0,1998.0,25,16,-9
520,521.0,2019.0,24,32,-9
521,522.0,2040.0,25,16,-9
522,523.0,2046.0,25,16,-9
523,524.0,2052.0,25,16,-9
524,525.0,2072.0,25,24,-9
525,526.0,2092.0,25,16,-9
526,527.0,2113.0,25,16,-9
527,528.0,2135.0,24,8,-9
528,529.0,2157.0,26,48,-9
529,530.0,2180.0,26,8,-9
530,531.0,2203.0,26,24,-9
531,532.0,2227.0,26,52,-9
532,533.0,2251.0,27,52,-9
533,534.0,2275.0,28,32,-9
534,535.0,2300.0,28,64,-9
535,536.0,2325.0,28,48,-9
536,537.0,2352.0,28,64,-9
537,538.0,2380.0,28,64,-9
538,539.0,2393.0,28,32,-9
539,540.0,2406.0,28,64,-9
540,541.0,2418.0,28,52,-9
541,542.0,2430.0,27,32,-9
542,543.0,2442.0,27,24,-9
543,544.0,2465.0,27,24,-9
544,545.0,2477.0,27,64,-9
545,546.0,2375.0,27,52,-9
546,547.0,2282.0,25,32,-9
547,548.0,2188.0,25,52,-9
548,549.0,2093.0,25,8,-9
549,550.0,1999.0,25,24,-9
550,551.0,1889.0,25,16,-9
551,552.0,1779.0,25,48,-9
552,553.0,1682.0,25,64,-9
553,554.0,1695.0,25,24,-9
554,555.0,1598.0,25,52,-9
555,556.0,1611.0,25,32,-9
556,557.0,1625.0,25,64,-9
557,558.0,1639.0,26,64,-9
558,559.0,1655.0,26,48,-9
559,560.0,1672.0,27,64,-9
560,561.0,1691.0,29,32,-9
561,562.0,1712.0,28,52,-9
562,563.0,1732.0,28,16,-9
563,564.0,1754.0,29,52,-9
564,565.0,1776.0,28,32,-9
565,566.0,1784.0,28,16,-9
566,567.0,1793.0,28,16,-9
567,568.0,1816.0,28,16,-9
568,569.0,1826.0,27,32,-9
569,570.0,1837.0,27,32,-9
570,571.0,1845.0,27,16,-9
571,572.0,1855.0,26,64,-9
572,573.0,1864.0,26,16,-9
573,574.0,1885.0,26,16,-9
574,575.0,1906.0,25,8,-9
575,576.0,1927.0,26,64,-9
576,577.0,1948.0,26,52,-9
577,578.0,1969.0,26,52,-9
578,579.0,1978.0,27,16,-9
579,580.0,1987.0,27,16,-9
580,581.0,2007.0,27,64,-9
581,582.0,2028.0,26,48,-9
582,583.0,2049.0,26,24,-9
